"TITULO";"AUTHOR";"EDITORIAL";"PRICE";"CATEGORIA";"DESCRIPCION";"PORTADA";"STADO"
"Cuando late un corazón";"Danielle Steel";"Sudamericana";550.0;0.0;0.0;0.0;"Usado"
"Pacto de sangre";"James Cain";"Emece";650.0;0.0;0.0;0.0;"Nuevo"
"La casa de Bernarda Alba";"Federico G. Lorca";"Agebe";600.0;0.0;0.0;0.0;"Nuevo"
"Una extraña pena de amor";"Madeleine Chapsal";"Atlantida";550.0;0.0;0.0;0.0;"Usado"
"La luna del cazador";"Victoria Holt";"Grijalbo";550.0;0.0;0.0;0.0;"Usado"
"El cisne";"Gudbergur Bergsson";"TusQuets";2300.0;0.0;0.0;0.0;"Nuevo"
"Amarse con los ojos abiertos";"Jorge Bucay - Silvia Salinas";"Del nuevo extremo";700.0;0.0;0.0;0.0;"Usado"
"Las fotografías de la muerte";"James Hadley Chase";"Emece";550.0;0.0;0.0;0.0;"Usado"
"El coleccionista";"John Fowles";"Orbis";800.0;0.0;0.0;0.0;"Usado"
"Fuego en Casabindo";"Héctor Tizon";"La Nacion";750.0;0.0;0.0;0.0;"Nuevo"
"El ruido y la furia";"William Faulkner";"La Nacion";700.0;0.0;0.0;0.0;"Nuevo"
"El país de la canela";"William Ospina";"Mondadori";4500.0;0.0;0.0;0.0;"Nuevo"
"La serpiente sin ojos";"William Ospina";"Mondadori";4500.0;0.0;0.0;0.0;"Nuevo"
"Ursúa";"William Ospina";"Mondadori";4500.0;0.0;0.0;0.0;"Nuevo"
"La mitad fantasma";"Alan Pauls";"Random House";2500.0;0.0;0.0;0.0;"Nuevo"
"La casa de la mezquita";"Kader Abdolah";"Salamandra";1300.0;0.0;0.0;0.0;"Nuevo"
"La mujer en la luna";"Milena Agus";"Edhasa";1800.0;0.0;0.0;0.0;"Nuevo"
"El consentimiento";"Vanessa Springora";"Lumen";1700.0;0.0;0.0;0.0;"Nuevo"
"Salvar el fuego";"Guillermo Arriaga";"Alfaguara";4500.0;0.0;0.0;0.0;"Nuevo"
"La buena suerte";"Rosa Montero";"Alfaguara";3000.0;0.0;0.0;0.0;"Nuevo"
"El valle del asombro";"Amy Tan";"Planeta";1200.0;0.0;0.0;0.0;"Nuevo"
"Gemelas";"Tessa de Loo";"Lado B";800.0;0.0;0.0;0.0;"Nuevo"
"La amiga estupenda";"Elena Ferrante";"Lumen";3000.0;0.0;0.0;0.0;"Nuevo"
