TITULO,AUTHOR,EDITORIAL,PRICE,CATEGORIA,DESCRIPCION,PORTADA,STADO
"Srita. Marple y 13 problemas","Agatha Christie",Molino,550,NULL,NULL,NULL,Usado
"Los arboles mueren de pie","Alejandro Casona",Losada,300,NULL,NULL,NULL,Usado
"Vicente y la musica de las cosas","Maryse Pelletier",Cantaro,550,NULL,NULL,NULL,Usado
"Cuentos - Oscar Wilde","Oscar Wilde","Grupo Norma",500,NULL,NULL,NULL,Usado
"12 cuentos extraños","Osvaldo Svanascini",///,500,NULL,NULL,NULL,Usado
"27 cuentos del norte argentino","Autores varios",Ateneas,800,NULL,NULL,NULL,Usado
"Antologia cuentos seleccionados","Salta - Jujuy - Catamarca","F. Banco Noroeste",400,NULL,NULL,NULL,Usado
"Cuentos argentinos del siglo XX","Antología de Susana I. Rovere",Huemul,500,NULL,NULL,NULL,Usado
"Cuentos para seguir creciendo","Compilador Mempo Giardinelli",Eueba,300,NULL,NULL,NULL,Usado
"Antologia 1998",///,"Grupo Editor Sur",500,NULL,NULL,NULL,Usado
"Bajo un solo techo",///,///,NULL,NULL,NULL,NULL,Usado
"Poesia y prosa","Baldomero Fernández Moreno",Capitulo,400,NULL,NULL,NULL,Usado
"Rimas y Leyendas","Gustavo A. Becquer","Siete dias",450,NULL,NULL,NULL,Usado
"Cordoba y sus sierras","Fernandez Moreno",Kapeluz,NULL,NULL,NULL,NULL,Usado
Fausto,"Estanislao Del Campo",Abril,400,NULL,NULL,NULL,Usado
Iluminaciones,"Arthur Rimbaud",Colihue,600,NULL,NULL,NULL,Nuevo
"Juglares de hoy","Varios Autores",Cantaro,400,NULL,NULL,NULL,Usado
"La poesia argentina","Lugores - Fernandez - Molinari ",Capitulo,400,NULL,NULL,NULL,Usado
"Lorca Antologia","Federico G. Lorca",Losada,400,NULL,NULL,NULL,Usado
"Martin Fierro - Parte 2","Jose Hernandez",Abril,400,NULL,NULL,NULL,Usado
"Me fui de vos","Sussy Efron",///,450,NULL,NULL,NULL,Usado
"Canto general","Pablo Neruda",Debolsillo,800,NULL,NULL,NULL,Nuevo
"Ochenta sonetos y otros poemas","Domingo Arabia",///,350,NULL,NULL,NULL,Usado
"Otro poema desaparecido","Damian San Martin",Noutse,800,NULL,NULL,NULL,Usado
"Piojos en el alma","Damian San Martin",///,500,NULL,NULL,NULL,Usado
"Poesia siempre","Graciela Komerovsky",Troquel,NULL,NULL,NULL,NULL,Usado
"Por la patria y por lo nuestro","Roberto Coppari",///,400,NULL,NULL,NULL,Usado
"Sueños cimarrones","Roberto Coppari",///,400,NULL,NULL,NULL,Usado
"Abel Sanchez","Miguel de Unamuno",Austral,400,NULL,NULL,NULL,Usado
"Miguel de Unamuno ","Poesia completa","Alianza tres",900,NULL,NULL,NULL,Usado
"La poesia Universal","Aquilino Sanchez",///,NULL,NULL,NULL,NULL,Usado
Desgracia,"J. M. Coetzee","Random House",600,NULL,NULL,NULL,Usado
"El inmoralista","André Gide","Random House",600,NULL,NULL,NULL,Usado
"La pianista","Elfriede Jelinek","Random House",600,NULL,NULL,NULL,Usado
"Momentos literarios","V.S. Naipaul","Random House",600,NULL,NULL,NULL,Usado
"Mas alla del olvido","Patrick Modiano","Random House",600,NULL,NULL,NULL,Usado
"Sueños: cómo interpretar sus mensajes","Alejandro Parra"," Kier",550,NULL,NULL,NULL,Usado
"Nuevo diccionario de sueños","Rodolfo Cardozo"," Lea",550,NULL,NULL,NULL,Usado
"Qué mensajes me dan los sueños","/// ",Clarin,450,NULL,NULL,NULL,Usado
"Invoca a tu angel","Susana Woods","Del Club",600,NULL,NULL,NULL,Usado
"Manual de numerología","Danny Martinez",Andromeda,600,NULL,NULL,NULL,Usado
"Como un hombre piensa la vida","James Alen",Obelisco,NULL,NULL,NULL,NULL,Usado
Urania,"Le Clezio Jean Marie","El cuenco de Plata",600,NULL,NULL,NULL,Nuevo
"Antígona - Edipo rey - Electra - Edipo en Colono",Sofocles,Planeta,800,NULL,NULL,NULL,Usado
"Yo, el peor de todos","Jorge Rial",Planeta,600,NULL,NULL,NULL,Usado
Periplo,"Juan Fillioy",///,600,NULL,NULL,NULL,Nuevo
"El secreto mas grande del mundo","OG Mandino",Vergara,700,NULL,NULL,NULL,Usado
"El nombre de la rosa","Umberto Eco",RBA,1300,NULL,NULL,NULL,Usado
"Los amotinados del Bounty","Julio Verne","Andrés Bello",650,NULL,NULL,NULL,Nuevo
"Narnia: La silla de plata","C. S. Lewis",Destino,1400,NULL,NULL,NULL,Usado
"Narnia: La travesía del viajero del alba","C. S. Lewis",Destino,1400,NULL,NULL,NULL,Usado
